symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
BRF2,-0.2069488271496361,6.187804215546671,-4.973864127006568,7.064065172906028e-7,0.003295386403160662,5.544627662461586
OSR2,-0.24839360633189841,5.651447636219166,-4.7681890516501735,1.97889352122862e-6,0.004615769138265756,4.6172415629145345
UBE2V2,-0.18042990401830078,8.179393341393085,-4.628389021987325,3.896794813075619e-6,0.0060595159343325876,4.008762099349253
FAM49B,-0.17375858772462513,7.643275300104448,-4.548151939298084,5.702022767701473e-6,0.0066499840528318425,3.6675427800298444
KIT,0.316308988627435,5.717581176675633,4.438320547232843,9.508085347519116e-6,0.007741340536930948,3.2099572480697045
SLC35E3,-0.12780451979362253,7.037714063122433,-4.42829696483722,9.95670808608482e-6,0.007741340536930948,3.168742935785117
PNRC1,0.15054863618004924,7.206731554580502,4.379227784390971,1.246081609114225e-5,0.008304243866454085,2.968303413238827
CDKN3,-0.2400620341383358,5.070179172399204,-4.32200087925176,1.614142355347939e-5,0.009412467609622669,2.7373112990637143
AURKA,-0.26436862875604283,5.619988815165356,-4.265726545459816,2.075734142201418e-5,0.010759221970410683,2.5130750460082325
CTSO,0.16401903818438895,7.683508550982228,4.157133077846479,3.344466533177931e-5,0.012674531233429398,2.088529514802236
CCDC22,0.12850673750508243,5.682266280407084,4.149958744209045,3.450202038727223e-5,0.012674531233429398,2.0608606194237122
ABCC5,-0.23910334556052723,5.4388364317632325,-4.140725271491687,3.590965982950505e-5,0.012674531233429398,2.025319534268828
LSM1,-0.15855245282459693,8.341027297459291,-4.128365315020082,3.787951873247193e-5,0.012674531233429398,1.9778660249264757
TCEB1,-0.14329388863249515,8.146088747812609,-4.121472852725003,3.902214368901588e-5,0.012674531233429398,1.9514644495715325
RPL5,0.16091970823032933,10.50176704865451,4.11138243602288,4.0754119721637934e-5,0.012674531233429398,1.9128913980889326
MRPL13,-0.2119869314623695,7.435225712785611,-4.0751642557678585,4.759143392581343e-5,0.013875877453994979,1.7752050610150034
ATF1,-0.14648401786262533,6.400048204729595,-3.988223395090301,6.871495192921612e-5,0.017235341695108694,1.449587642025696
KLC2,-0.10489245900702591,5.306663728534229,-3.988034088267373,6.876940349923552e-5,0.017235341695108694,1.448886180415168
EIF4ENIF1,0.11613819194993205,6.179761582505533,3.9831190445239404,7.019753316335803e-5,0.017235341695108694,1.4306853499292504
PDLIM1,0.20119289949605487,8.895241889685007,3.9515352828094783,8.006642275045265e-5,0.018358374520680586,1.314255492099658
DDIT3,-0.1043192423523609,6.179265249962232,-3.9438992570186353,8.26422004146393e-5,0.018358374520680586,1.2862432458333357
EGR2,0.14710441385345557,5.286587973818688,3.924404678813338,8.957813622879742e-5,0.01856608558481402,1.2149708291267007
JAK1,0.1531188391578887,8.120695785169419,3.9095877071325575,9.521411060636177e-5,0.01856608558481402,1.1610325782679505
RBM23,0.11745460456519377,7.243139086921422,3.908815492930265,9.551683902155122e-5,0.01856608558481402,1.1582269980788613
ACSL5,0.14852749683944616,5.563104595985245,3.873940977333726,1.1017671470167032e-4,0.019644700774030143,1.032091583977726
KIF13B,0.19449310137569167,6.504712210787414,3.8634009390165134,1.150096217213012e-4,0.019644700774030143,0.9941892684188529
CDK5RAP2,0.09475158433068022,5.4187189658597985,3.852606588114848,1.201660695584582e-4,0.019644700774030143,0.9554779540668985
LY75,0.21762980594824757,6.163967461731008,3.834975887589621,1.2906000995837312e-4,0.019644700774030143,0.892479391770137
HLA-DMA,0.22153457772425725,7.536650322845606,3.820709283798686,1.3670759800399213e-4,0.019644700774030143,0.8417100937145392
NSMAF,-0.143344947978335,6.1264086647416605,-3.815695873348135,1.3949501489630606e-4,0.019644700774030143,0.8239136218745253
NTRK2,0.3398773545221896,5.273991397127684,3.8110826504933955,1.4210717915387315e-4,0.019644700774030143,0.8075580842084831
SESN1,0.14615591279355092,6.936698077544065,3.8071216146629974,1.443867692271212e-4,0.019644700774030143,0.79353035503346
SLC6A8,-0.17526481921953044,6.571763151818877,-3.8005821835286415,1.4822580030751656e-4,0.019644700774030143,0.770402903043192
ATP5I,-0.1379155723053371,9.300644149724729,-3.800202445115123,1.48451657681182e-4,0.019644700774030143,0.7690611190608578
INPP1,0.1467627546751332,5.690330450713914,3.795970365033896,1.5099081631026042e-4,0.019644700774030143,0.7541162550724367
CCL4,0.19295598232977876,6.455094167682698,3.7914464096993425,1.53750307852657e-4,0.019644700774030143,0.7381588470272842
SAP30BP,0.12387723148302456,6.220311848717634,3.788119197132852,1.558100597297139e-4,0.019644700774030143,0.7264347042154498
ENY2,-0.1665322392524703,8.043435480177255,-3.762354420494225,1.7266273353552122e-4,0.021196622419558064,0.6359907685930102
CITED2,0.19437881009568542,6.511779111783681,3.7474845892648627,1.831550101978592e-4,0.021201859502061653,0.5840692853833387
MTSS1,-0.18552017972228219,8.4404781003241,-3.740662573647176,1.8816681299176202e-4,0.021201859502061653,0.5603165148538674
DTL,-0.2042846126994705,6.045666419753763,-3.7396850961211983,1.888953950943237e-4,0.021201859502061653,0.5569166490593904
ITGA5,-0.11101023666737367,6.740666011483337,-3.736244141140254,1.9148134395195174e-4,0.021201859502061653,0.5449552828655806
IER2,0.13683949341479426,9.098269738072943,3.7195020713093334,2.0454539709274612e-4,0.021201859502061653,0.48691194330065546
STK3,-0.13814483240451744,6.434599164313746,-3.7184783813113786,2.0537077841006264e-4,0.021201859502061653,0.4833712422023968
TERF1,-0.14665557016146646,5.8975858441936735,-3.715962642955892,2.0741248895861077e-4,0.021201859502061653,0.474673985739666
SRPR,0.14370924747467534,6.78372677538817,3.7139441521187546,2.0906442381454147e-4,0.021201859502061653,0.46769998313022487
C9orf16,0.16692361719198104,6.749422092164313,3.682262741274048,2.3666811789777153e-4,0.023490569574321364,0.3587289133899496
NEK2,-0.22006496448148896,5.8802636213400685,-3.6569674836912527,2.611271559318551e-4,0.025177702516090462,0.27238523487684585
BTN2A2,0.13335024095836637,6.3100895342729695,3.6536940549987373,2.644603265355697e-4,0.025177702516090462,0.2612545447738013
GNG5,0.11436433945868875,9.504898607431178,3.638967123935574,2.7995576832924167e-4,0.02611987318511825,0.21130007487589353
NUCKS1,-0.15447654872913094,6.5364832332602525,-3.6216143834644576,2.993059007084927e-4,0.026768104241331865,0.1526944101289036
ERCC1,0.10193584456347309,7.1043638489781475,3.619325546405759,3.0194980146258893e-4,0.026768104241331865,0.14498493813095337
IMPAD1,-0.1472829407931882,6.230903983404417,-3.6174626738580242,3.0411779738276286e-4,0.026768104241331865,0.13871379203702183
PMPCA,0.09887924479419284,6.895474216820826,3.6110486043406262,3.116945270202204e-4,0.026926943862024592,0.11714595435997044
SBF1,0.13030605300732054,5.697479694715733,3.5827459836419338,3.472882027499557e-4,0.029456353924155333,0.022427515482298155
FADD,-0.14018779247054025,6.691510773263969,-3.5627311001045596,3.74718189649363e-4,0.030428261142880275,-0.044110505115496856
CFLAR,0.14572373962272772,6.720780524571701,3.5619790844618304,3.7578729062205955e-4,0.030428261142880275,-0.046603348259572464
AZIN1,-0.13818130939186116,8.02540380477861,-3.56020904801647,3.783149295363464e-4,0.030428261142880275,-0.05246875828265818
PROSC,-0.16492663950160796,5.821794199953432,-3.5519172400360413,3.903689091717469e-4,0.030865609513325412,-0.07990715950135652
VCP,0.1299228604452356,7.993962099759558,3.539419555347933,4.0921736567837194e-4,0.03181665018149342,-0.1211437736253762
STAT6,0.1327471964153546,7.854707316584485,3.5244576215019263,4.3290055943326605e-4,0.03310624770092108,-0.1703223810348291
NFKB1,0.12770841964711813,6.097462722421865,3.4818459936511252,5.075547934347513e-4,0.03818940502214701,-0.3092549660448407
RRAGA,0.09412081722294852,8.553774093028757,3.454244561735049,5.62145774255637e-4,0.03998523099365742,-0.3983562436787391
ARID5A,0.10372132268013029,5.579415262054501,3.4533170084645626,5.640720259985665e-4,0.03998523099365742,-0.4013383394897607
ANAPC10,-0.10841761883798524,5.81913339476793,-3.451798220671888,5.672393829093032e-4,0.03998523099365742,-0.4062195522431411
ZNF576,0.0820329420916653,5.0144948908276445,3.4493706508195445,5.723363958237395e-4,0.03998523099365742,-0.4140170796268645
WWP1,-0.18818473995944296,7.436502309282463,-3.4416556735077486,5.88819776328933e-4,0.03998523099365742,-0.43876212708549467
CYP27A1,0.11647021051880545,5.527273225461238,3.441204227470614,5.897978750698245e-4,0.03998523099365742,-0.44020840017936536
MARS,-0.10539793112027557,7.222207635892054,-3.437982517299395,5.968220648658641e-4,0.03998523099365742,-0.4505241714845898
PON2,0.17365710858842412,7.535664353142874,3.436539807974025,5.999927480291574e-4,0.03998523099365742,-0.4551405648946947
ZFP64,-0.0975801696610934,6.940705875740334,-3.4287883409661024,6.172986386111465e-4,0.04055912886085913,-0.4799109729648441
TBC1D4,0.1384827176535618,6.330014541947558,3.4203074791476076,6.367647603595307e-4,0.0412570500982946,-0.5069488548304122
GBE1,-0.12379808949693616,6.841662408394446,-3.412479788856279,6.552372850964184e-4,0.04187235527362729,-0.5318455944707257
AQP1,0.22475425059553533,6.389090626687258,3.4009503220648796,6.833554713987292e-4,0.043079098298311774,-0.5684134582624036
PFKFB3,-0.1955716501072553,7.81997617299362,-3.3970312105502356,6.931662778538682e-4,0.043114942482510604,-0.5808157805875496
ENPP2,0.24099490304326368,6.26009957452439,3.3889180975293933,7.138937013287474e-4,0.04329349616986858,-0.6064453893193775
MAPK9,-0.13928923877334962,6.728561265872523,-3.388646325364213,7.145979003386668e-4,0.04329349616986858,-0.6073028778824963
SFN,-0.17157331987738247,8.882390687597857,-3.384751133552873,7.247620995656234e-4,0.04334634864709786,-0.619585413384268
CYC1,-0.1618242616028922,7.933358790071687,-3.368613274807344,7.6832113315098e-4,0.04536984919176357,-0.6703233353893134
PHF20L1,-0.11933308450851436,5.104987363304724,-3.359544907349626,7.938534626127362e-4,0.04629158003860518,-0.6987292920843489
XPOT,-0.12571481636601514,8.030084930791766,-3.3545867576952286,8.081443419475576e-4,0.04654312784179453,-0.7142282796515262
TAF2,-0.13469108788476747,7.017291254146795,-3.3504044326889213,8.20384414133962e-4,0.04667186941384064,-0.7272844606487405
ID1,0.1821944716373768,5.4846589078274635,3.346612503651947,8.316304906768496e-4,0.046741641433825344,-0.739107994055769
NECAP1,-0.12528297877494338,5.690221539700572,-3.335611340929388,8.650726622790547e-4,0.047896027749543546,-0.7733355190045419
LTA4H,0.11865530115815054,8.281332968145293,3.3315106593591572,8.77854332442803e-4,0.047896027749543546,-0.7860652943682673
SQSTM1,-0.17339419979308715,8.312158190668626,-3.3241874356213117,9.011173295375353e-4,0.047896027749543546,-0.8087602875587976
AP3M2,-0.11524984676462081,5.962442366757345,-3.323583146818014,9.030622320942107e-4,0.047896027749543546,-0.8106307980716512
SOX13,0.12027785303469955,5.167932326782049,3.321967334691463,9.082818597781723e-4,0.047896027749543546,-0.8156307166199142
SATB1,0.18322259495933788,7.334313707903875,3.317801980793724,9.218666842474836e-4,0.047896027749543546,-0.8285087623478127
EEF1A2,-0.2596946297064596,5.463635761052446,-3.3171411571559704,9.24039120569972e-4,0.047896027749543546,-0.8305503646473662
GLA,0.13963441333928103,7.720243084288218,3.3042651081218986,9.673275671238894e-4,0.0495888252816807,-0.8702503619266073
EEF1A1,0.10790168811495959,11.323725198251763,3.291910570798512,0.0010106225034499702,0.05067269928218347,-0.9081987665815499
KCNN4,0.15961856244180325,5.877008118209277,3.2906226980388658,0.0010152375286277726,0.05067269928218347,-0.9121465209778803
SORBS2,0.22541602038945827,6.312743854814081,3.2890062514630163,0.0010210576061147367,0.05067269928218347,-0.917099298683631
TXNRD1,-0.14065654474057046,6.706774744391025,-3.2856353909445435,0.0010332940601860694,0.050740176744926466,-0.9274198365143267
UBE2C,-0.1868206083896445,7.119556207369138,-3.2691607199671053,0.001095075824343532,0.05321384083919351,-0.9777095113263865
TMED9,-0.13820573105112774,8.443109248846364,-3.2662026804333553,0.0011065243900313512,0.053215837932951066,-0.9867125629914337
SF3A1,0.10730872064744759,6.692173042513428,3.258713606845804,0.0011360064934761102,0.05360591952215747,-1.0094701444353973
MXD3,-0.07760481525731838,5.854240655400403,-3.258309556857236,0.0011376175847145958,0.05360591952215747,-1.010696489650016
ALOX5,0.1922169161529348,7.282503609175501,3.2539860737609447,0.0011549896531439844,0.05388026731916687,-1.0238094101120465
